Run Script Log: hidden_state = 256, input_state = 256, epoch = 20, data rows = 13679, save path = save/model_256.tch
You should call this after loading model parameters
Start train, epoch = 20
Start epoch0
Inited s-bert model using paraphrase-distilroberta-base-v1
148/13679, now: 2021-01-10 20:23:18
149/13679, now: 2021-01-10 20:23:20
150/13679, now: 2021-01-10 20:23:20
151/13679, now: 2021-01-10 20:23:21
152/13679, now: 2021-01-10 20:23:22
153/13679, now: 2021-01-10 20:23:23
154/13679, now: 2021-01-10 20:23:24
155/13679, now: 2021-01-10 20:23:25
156/13679, now: 2021-01-10 20:23:26
157/13679, now: 2021-01-10 20:23:26
158/13679, now: 2021-01-10 20:23:26
159/13679, now: 2021-01-10 20:23:28
160/13679, now: 2021-01-10 20:23:30
161/13679, now: 2021-01-10 20:23:32
162/13679, now: 2021-01-10 20:23:34
163/13679, now: 2021-01-10 20:23:35
164/13679, now: 2021-01-10 20:23:37
165/13679, now: 2021-01-10 20:23:38
166/13679, now: 2021-01-10 20:23:39
167/13679, now: 2021-01-10 20:23:40
168/13679, now: 2021-01-10 20:23:41
169/13679, now: 2021-01-10 20:23:42
170/13679, now: 2021-01-10 20:23:43
171/13679, now: 2021-01-10 20:23:44
172/13679, now: 2021-01-10 20:23:46
173/13679, now: 2021-01-10 20:23:47
174/13679, now: 2021-01-10 20:23:49
175/13679, now: 2021-01-10 20:23:49
176/13679, now: 2021-01-10 20:23:51
177/13679, now: 2021-01-10 20:23:56
178/13679, now: 2021-01-10 20:23:57
179/13679, now: 2021-01-10 20:23:57
180/13679, now: 2021-01-10 20:23:58
181/13679, now: 2021-01-10 20:23:59
182/13679, now: 2021-01-10 20:24:01
183/13679, now: 2021-01-10 20:24:04
184/13679, now: 2021-01-10 20:24:06
185/13679, now: 2021-01-10 20:24:10
186/13679, now: 2021-01-10 20:24:10
187/13679, now: 2021-01-10 20:24:12
188/13679, now: 2021-01-10 20:24:15
189/13679, now: 2021-01-10 20:24:16
190/13679, now: 2021-01-10 20:24:17
191/13679, now: 2021-01-10 20:24:17
192/13679, now: 2021-01-10 20:24:18
193/13679, now: 2021-01-10 20:24:19
194/13679, now: 2021-01-10 20:24:20
195/13679, now: 2021-01-10 20:24:21
196/13679, now: 2021-01-10 20:24:21
197/13679, now: 2021-01-10 20:24:22
198/13679, now: 2021-01-10 20:24:24
199/13679, now: 2021-01-10 20:24:24
200/13679, now: 2021-01-10 20:24:25
201/13679, now: 2021-01-10 20:24:27
202/13679, now: 2021-01-10 20:24:34
203/13679, now: 2021-01-10 20:24:36
204/13679, now: 2021-01-10 20:24:37
205/13679, now: 2021-01-10 20:24:38
206/13679, now: 2021-01-10 20:24:38
207/13679, now: 2021-01-10 20:24:38
208/13679, now: 2021-01-10 20:24:41
209/13679, now: 2021-01-10 20:24:41
210/13679, now: 2021-01-10 20:24:50
211/13679, now: 2021-01-10 20:24:52
212/13679, now: 2021-01-10 20:24:53
213/13679, now: 2021-01-10 20:24:54
214/13679, now: 2021-01-10 20:24:55
215/13679, now: 2021-01-10 20:24:56
216/13679, now: 2021-01-10 20:24:57
217/13679, now: 2021-01-10 20:24:58
218/13679, now: 2021-01-10 20:24:59
219/13679, now: 2021-01-10 20:25:00
220/13679, now: 2021-01-10 20:25:00
221/13679, now: 2021-01-10 20:25:02
222/13679, now: 2021-01-10 20:25:02
223/13679, now: 2021-01-10 20:25:02
224/13679, now: 2021-01-10 20:25:03
225/13679, now: 2021-01-10 20:25:09
226/13679, now: 2021-01-10 20:25:09
227/13679, now: 2021-01-10 20:25:10
228/13679, now: 2021-01-10 20:25:12
229/13679, now: 2021-01-10 20:25:13
230/13679, now: 2021-01-10 20:25:13
231/13679, now: 2021-01-10 20:25:15
232/13679, now: 2021-01-10 20:25:17
233/13679, now: 2021-01-10 20:25:19
234/13679, now: 2021-01-10 20:25:19
235/13679, now: 2021-01-10 20:25:20
236/13679, now: 2021-01-10 20:25:20
237/13679, now: 2021-01-10 20:25:20
238/13679, now: 2021-01-10 20:25:21
239/13679, now: 2021-01-10 20:25:22
240/13679, now: 2021-01-10 20:25:24
241/13679, now: 2021-01-10 20:25:25
242/13679, now: 2021-01-10 20:25:26
243/13679, now: 2021-01-10 20:25:27
244/13679, now: 2021-01-10 20:25:27
245/13679, now: 2021-01-10 20:25:29
246/13679, now: 2021-01-10 20:25:30
247/13679, now: 2021-01-10 20:25:30
248/13679, now: 2021-01-10 20:25:31
249/13679, now: 2021-01-10 20:25:32
250/13679, now: 2021-01-10 20:25:42
251/13679, now: 2021-01-10 20:25:44
252/13679, now: 2021-01-10 20:25:46
253/13679, now: 2021-01-10 20:25:46
254/13679, now: 2021-01-10 20:25:47
255/13679, now: 2021-01-10 20:25:47
256/13679, now: 2021-01-10 20:25:48
257/13679, now: 2021-01-10 20:25:49
258/13679, now: 2021-01-10 20:25:50
259/13679, now: 2021-01-10 20:25:52
260/13679, now: 2021-01-10 20:25:52
261/13679, now: 2021-01-10 20:25:56
262/13679, now: 2021-01-10 20:25:57
263/13679, now: 2021-01-10 20:25:58
264/13679, now: 2021-01-10 20:25:59
265/13679, now: 2021-01-10 20:25:59
266/13679, now: 2021-01-10 20:26:00
267/13679, now: 2021-01-10 20:26:02
268/13679, now: 2021-01-10 20:26:05
269/13679, now: 2021-01-10 20:26:18
270/13679, now: 2021-01-10 20:26:18
271/13679, now: 2021-01-10 20:26:19
272/13679, now: 2021-01-10 20:26:19
273/13679, now: 2021-01-10 20:26:21
274/13679, now: 2021-01-10 20:26:21
275/13679, now: 2021-01-10 20:26:21
276/13679, now: 2021-01-10 20:26:22
277/13679, now: 2021-01-10 20:26:33
278/13679, now: 2021-01-10 20:26:45
279/13679, now: 2021-01-10 20:26:46
280/13679, now: 2021-01-10 20:26:47
281/13679, now: 2021-01-10 20:26:49
282/13679, now: 2021-01-10 20:26:49
283/13679, now: 2021-01-10 20:26:49
284/13679, now: 2021-01-10 20:26:50
285/13679, now: 2021-01-10 20:26:51
286/13679, now: 2021-01-10 20:26:53
287/13679, now: 2021-01-10 20:26:54
288/13679, now: 2021-01-10 20:26:54
289/13679, now: 2021-01-10 20:27:04
290/13679, now: 2021-01-10 20:27:05
291/13679, now: 2021-01-10 20:27:05
292/13679, now: 2021-01-10 20:27:05
293/13679, now: 2021-01-10 20:27:07
294/13679, now: 2021-01-10 20:27:09
295/13679, now: 2021-01-10 20:27:11
296/13679, now: 2021-01-10 20:27:13
297/13679, now: 2021-01-10 20:27:15
298/13679, now: 2021-01-10 20:27:15
299/13679, now: 2021-01-10 20:27:16
300/13679, now: 2021-01-10 20:27:16
301/13679, now: 2021-01-10 20:27:17
302/13679, now: 2021-01-10 20:27:18
303/13679, now: 2021-01-10 20:27:18
304/13679, now: 2021-01-10 20:27:18
305/13679, now: 2021-01-10 20:27:20
306/13679, now: 2021-01-10 20:27:22
307/13679, now: 2021-01-10 20:27:23
308/13679, now: 2021-01-10 20:27:25
309/13679, now: 2021-01-10 20:27:25
310/13679, now: 2021-01-10 20:27:26
311/13679, now: 2021-01-10 20:27:26
312/13679, now: 2021-01-10 20:27:27
313/13679, now: 2021-01-10 20:27:28
314/13679, now: 2021-01-10 20:27:30
315/13679, now: 2021-01-10 20:27:31
316/13679, now: 2021-01-10 20:27:34
317/13679, now: 2021-01-10 20:27:35
318/13679, now: 2021-01-10 20:27:36
319/13679, now: 2021-01-10 20:27:37
320/13679, now: 2021-01-10 20:27:38
321/13679, now: 2021-01-10 20:27:39
322/13679, now: 2021-01-10 20:27:41
323/13679, now: 2021-01-10 20:27:41
324/13679, now: 2021-01-10 20:27:42
325/13679, now: 2021-01-10 20:27:42
326/13679, now: 2021-01-10 20:27:43
327/13679, now: 2021-01-10 20:27:44
328/13679, now: 2021-01-10 20:27:45
329/13679, now: 2021-01-10 20:27:53
330/13679, now: 2021-01-10 20:27:54
331/13679, now: 2021-01-10 20:27:55
332/13679, now: 2021-01-10 20:27:56
333/13679, now: 2021-01-10 20:28:05
334/13679, now: 2021-01-10 20:28:06
335/13679, now: 2021-01-10 20:28:06
336/13679, now: 2021-01-10 20:28:07
337/13679, now: 2021-01-10 20:28:07
338/13679, now: 2021-01-10 20:28:09
339/13679, now: 2021-01-10 20:28:09
340/13679, now: 2021-01-10 20:28:12
341/13679, now: 2021-01-10 20:28:12
342/13679, now: 2021-01-10 20:28:16
343/13679, now: 2021-01-10 20:28:16
344/13679, now: 2021-01-10 20:28:20
345/13679, now: 2021-01-10 20:28:23
346/13679, now: 2021-01-10 20:28:23
347/13679, now: 2021-01-10 20:28:25
348/13679, now: 2021-01-10 20:28:27
349/13679, now: 2021-01-10 20:28:28
350/13679, now: 2021-01-10 20:28:29
351/13679, now: 2021-01-10 20:28:29
352/13679, now: 2021-01-10 20:28:30
353/13679, now: 2021-01-10 20:28:30
354/13679, now: 2021-01-10 20:28:31
355/13679, now: 2021-01-10 20:28:32
356/13679, now: 2021-01-10 20:28:33
357/13679, now: 2021-01-10 20:28:34
358/13679, now: 2021-01-10 20:28:35
359/13679, now: 2021-01-10 20:28:35
360/13679, now: 2021-01-10 20:28:36
361/13679, now: 2021-01-10 20:28:49
362/13679, now: 2021-01-10 20:28:50
363/13679, now: 2021-01-10 20:28:50
364/13679, now: 2021-01-10 20:28:51
365/13679, now: 2021-01-10 20:28:52
366/13679, now: 2021-01-10 20:28:53
367/13679, now: 2021-01-10 20:28:53
368/13679, now: 2021-01-10 20:28:54
369/13679, now: 2021-01-10 20:28:57
370/13679, now: 2021-01-10 20:28:57
371/13679, now: 2021-01-10 20:28:58
372/13679, now: 2021-01-10 20:28:59
373/13679, now: 2021-01-10 20:29:00
374/13679, now: 2021-01-10 20:29:00
375/13679, now: 2021-01-10 20:29:02
376/13679, now: 2021-01-10 20:29:03
377/13679, now: 2021-01-10 20:29:06
378/13679, now: 2021-01-10 20:29:08
379/13679, now: 2021-01-10 20:29:11
380/13679, now: 2021-01-10 20:29:11
381/13679, now: 2021-01-10 20:29:12
382/13679, now: 2021-01-10 20:29:24
383/13679, now: 2021-01-10 20:29:24
384/13679, now: 2021-01-10 20:29:25
385/13679, now: 2021-01-10 20:29:26
386/13679, now: 2021-01-10 20:29:33
387/13679, now: 2021-01-10 20:29:37
388/13679, now: 2021-01-10 20:29:38
389/13679, now: 2021-01-10 20:29:40
390/13679, now: 2021-01-10 20:29:40
391/13679, now: 2021-01-10 20:29:41
392/13679, now: 2021-01-10 20:29:44
393/13679, now: 2021-01-10 20:29:45
394/13679, now: 2021-01-10 20:29:47
395/13679, now: 2021-01-10 20:29:50
396/13679, now: 2021-01-10 20:29:52
397/13679, now: 2021-01-10 20:29:53
398/13679, now: 2021-01-10 20:29:53
399/13679, now: 2021-01-10 20:29:54
400/13679, now: 2021-01-10 20:29:55
401/13679, now: 2021-01-10 20:29:56
402/13679, now: 2021-01-10 20:29:56
403/13679, now: 2021-01-10 20:29:58
404/13679, now: 2021-01-10 20:29:59
405/13679, now: 2021-01-10 20:30:06
406/13679, now: 2021-01-10 20:30:07
407/13679, now: 2021-01-10 20:30:08
408/13679, now: 2021-01-10 20:30:08
409/13679, now: 2021-01-10 20:30:09
410/13679, now: 2021-01-10 20:30:16
411/13679, now: 2021-01-10 20:30:17
412/13679, now: 2021-01-10 20:30:18
413/13679, now: 2021-01-10 20:30:19
414/13679, now: 2021-01-10 20:30:21
415/13679, now: 2021-01-10 20:30:23
416/13679, now: 2021-01-10 20:30:24
417/13679, now: 2021-01-10 20:30:24
418/13679, now: 2021-01-10 20:30:24
419/13679, now: 2021-01-10 20:30:25
420/13679, now: 2021-01-10 20:30:25
421/13679, now: 2021-01-10 20:30:27
422/13679, now: 2021-01-10 20:30:28
423/13679, now: 2021-01-10 20:30:28
424/13679, now: 2021-01-10 20:30:29
425/13679, now: 2021-01-10 20:30:29
426/13679, now: 2021-01-10 20:30:30
427/13679, now: 2021-01-10 20:30:32
428/13679, now: 2021-01-10 20:30:32
429/13679, now: 2021-01-10 20:30:34
430/13679, now: 2021-01-10 20:30:37
431/13679, now: 2021-01-10 20:30:38
432/13679, now: 2021-01-10 20:30:39
433/13679, now: 2021-01-10 20:30:40
434/13679, now: 2021-01-10 20:30:41
435/13679, now: 2021-01-10 20:30:44
436/13679, now: 2021-01-10 20:30:47
437/13679, now: 2021-01-10 20:30:47
438/13679, now: 2021-01-10 20:30:47
439/13679, now: 2021-01-10 20:30:49
440/13679, now: 2021-01-10 20:30:50
441/13679, now: 2021-01-10 20:30:50
442/13679, now: 2021-01-10 20:30:53
443/13679, now: 2021-01-10 20:30:53
444/13679, now: 2021-01-10 20:30:54
445/13679, now: 2021-01-10 20:30:54
446/13679, now: 2021-01-10 20:30:55
447/13679, now: 2021-01-10 20:30:56
448/13679, now: 2021-01-10 20:31:03
449/13679, now: 2021-01-10 20:31:03
450/13679, now: 2021-01-10 20:31:04
451/13679, now: 2021-01-10 20:31:05
452/13679, now: 2021-01-10 20:31:06
453/13679, now: 2021-01-10 20:31:06
454/13679, now: 2021-01-10 20:31:11
455/13679, now: 2021-01-10 20:31:12
456/13679, now: 2021-01-10 20:31:14
457/13679, now: 2021-01-10 20:31:16
458/13679, now: 2021-01-10 20:31:17
459/13679, now: 2021-01-10 20:31:19
460/13679, now: 2021-01-10 20:31:19
461/13679, now: 2021-01-10 20:31:19
462/13679, now: 2021-01-10 20:31:20
463/13679, now: 2021-01-10 20:31:24
464/13679, now: 2021-01-10 20:31:25
465/13679, now: 2021-01-10 20:31:26
